v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5
5.8,4.3,0.0,15.7,20.2,-27000000.0,0.0,0.0,0.0,0.0,0.0
24.3,19.0,16.7,11.0,13.8,-2981186.880396155,0.0,0.0,0.0,0.0,0.0
25.0,5.0,12.3,3.0,1.6,-6800000.0,0.0,0.0,0.0,0.0,0.0
25.0,24.4,12.2,22.0,7.8,-13261962.798465725,0.0,0.0,0.0,0.0,0.0
9.0,15.6,8.8,16.6,5.1,-14029302.32058138,0.0,0.0,0.0,0.0,0.0
3.1,22.2,11.3,16.0,14.8,-5760617.99093795,0.0,0.0,0.0,0.0,0.0
19.5,3.0,23.2,16.0,3.0,-14780455.542707114,0.0,0.0,0.0,0.0,0.0
19.1,12.3,14.4,5.4,0.0,-10000000.0,0.0,0.0,0.0,0.0,0.0
25.0,3.0,30.0,3.0,7.1,23788.5536108105,2638.6067200017196,4986.407275274159,4986.409525217708,5588.56247448885,5588.567615828063
8.9,21.2,17.2,7.0,20.0,16245.233772638307,326.74469973568347,1712.2309023149412,1712.2316767197733,6247.009195762265,6247.017298105644
14.5,3.0,7.0,7.6,5.4,-12735665.230678985,0.0,0.0,0.0,0.0,0.0
7.4,19.5,8.4,25.0,30.0,20488.39906567421,969.8108489933869,4440.054373051597,4440.060299383968,5319.237078921626,5319.236465323634
5.0,7.1,30.0,15.0,2.9,-4200000.0,0.0,0.0,0.0,0.0,0.0
14.8,3.0,17.4,15.0,11.6,13242.785234263243,340.38940098774845,4044.1538833490604,4044.1537810119376,2407.04530016447,2407.042868750027
3.8,5.3,7.4,25.0,22.4,-4899006.655189863,0.0,0.0,0.0,0.0,0.0
21.8,3.0,10.5,13.8,24.7,11037.008310922032,3328.595983567639,3252.0145829329103,3252.005219761675,602.1951334952372,602.197391164571
15.5,10.3,18.4,8.0,0.0,-15000000.0,0.0,0.0,0.0,0.0,0.0
12.1,16.8,24.6,18.2,8.2,15899.373720080726,1023.6086769836614,3134.8821320522206,3134.8700322762747,4303.000452171319,4303.012426597253
3.0,13.4,26.6,24.0,7.7,10621.721088090875,2756.8417662674347,516.1068056479087,516.1072217739185,3416.331960772182,3416.333333629431
15.9,7.2,10.2,25.0,22.2,15964.616207933635,4076.445042493804,1242.3124258495807,1242.3153577933847,4701.765001369691,4701.778380427176
4.1,16.2,10.5,18.3,12.8,-13771035.399041021,0.0,0.0,0.0,0.0,0.0
23.2,7.0,1.7,12.8,8.7,-8418690.916218383,0.0,0.0,0.0,0.0,0.0
3.0,17.0,24.2,19.0,0.0,-10000000.0,0.0,0.0,0.0,0.0,0.0
18.2,13.0,8.5,4.4,11.2,-2043370.0970640131,0.0,0.0,0.0,0.0,0.0
3.0,14.0,8.8,13.8,30.0,11215.191459269881,4681.602855142326,1578.1607176589087,1578.1497803332302,1688.645430232121,1688.632675903295
19.4,24.2,17.6,18.2,6.1,-7566175.166104358,0.0,0.0,0.0,0.0,0.0
16.2,3.0,0.0,5.8,30.0,-10000000.0,0.0,0.0,0.0,0.0,0.0
12.4,25.0,25.8,3.8,13.9,16528.076996554435,1454.6593986445275,3259.285098562453,3259.2748715989133,4277.429175475633,4277.428452272906
25.0,18.4,30.0,20.5,0.0,-21000000.0,0.0,0.0,0.0,0.0,0.0
19.8,11.3,26.2,13.7,0.0,-17799999.999999996,0.0,0.0,0.0,0.0,0.0
25.0,3.0,10.2,17.9,13.1,13517.044775192457,2333.17268013386,3282.4778999522505,3282.4811822763995,2309.454185944031,2309.4588268859147
17.5,11.6,7.8,6.9,2.0,-11509330.716830928,0.0,0.0,0.0,0.0,0.0
24.8,14.6,12.2,25.0,9.2,-1595652.6874762566,0.0,0.0,0.0,0.0,0.0
