v1,v2,fitness,p1
2.4,1.7,1791.0302299199504,1791.0302299199504
2.0,3.1,1218.4615734351337,1218.4615734351337
1.8,1.1,951.9820676234018,951.9820676234018
1.8,4.2,667.2660829493509,667.2660829493509
2.5,2.6,1771.8390708374516,1771.8390708374516
2.3,1.4,1601.2919683652376,1601.2919683652376
2.1,1.2,1313.3605676772988,1313.3605676772988
2.1,0.7,1272.10497904021,1272.10497904021
2.2,1.3,1453.2790267717435,1453.2790267717435
2.4,3.9,1137.892563628092,1137.892563628092
2.3,1.5,1630.1365795011404,1630.1365795011404
1.9,2.6,1283.3032501459736,1283.3032501459736
2.5,1.1,1843.9947697943162,1843.9947697943162
2.2,3.1,1483.4198061927696,1483.4198061927696
2.1,1.1,1314.5617126610257,1314.5617126610257
1.8,3.7,890.9723644991695,890.9723644991695
2.5,1.9,1922.1747126800872,1922.1747126800872
2.3,2.1,1687.0828094880312,1687.0828094880312
2.0,1.1,1181.4261730458002,1181.4261730458002
2.0,2.7,1393.666268884112,1393.666268884112
2.4,1.1,1693.5431370521246,1693.5431370521246
2.2,2.0,1556.1885333562918,1556.1885333562918
2.2,0.9,1413.8163418076224,1413.8163418076224
2.4,1.2,1720.6946923613389,1720.6946923613389
2.4,2.6,1695.5999661641972,1695.5999661641972
2.5,3.3,1347.0452987000829,1347.0452987000829
2.2,3.2,1429.1367383036531,1429.1367383036531
2.2,1.5,1483.6368636435102,1483.6368636435102
2.5,2.3,1885.8803185599968,1885.8803185599968
2.3,1.6,1634.0755300767887,1634.0755300767887
2.5,2.1,1945.1749573569257,1945.1749573569257
2.5,0.7,1807.5454341027983,1807.5454341027983
2.1,2.5,1518.7313356097084,1518.7313356097084
2.4,2.9,1661.1484904973731,1661.1484904973731
2.4,0.6,1670.8341543272466,1670.8341543272466
2.2,2.3,1608.5869550059103,1608.5869550059103
2.3,3.6,1097.9809854682198,1097.9809854682198
2.3,0.9,1554.0644885280203,1554.0644885280203
2.3,2.6,1627.3734195340041,1627.3734195340041
2.4,1.3,1720.9898932237277,1720.9898932237277
2.5,2.5,1811.7994800976528,1811.7994800976528
